Commercial 1,Residential 1,Commercial 2,Residential 2,Residential 3,Commerical 3,Commercial 4,Residential 4,Residential 5,Residential 6,Residential 7,Residential 8,Commercial 5,Residential 9,Residential 10,Residential 11,Residential 12,Residential 13,Residential 14,Residential 15,Residential 16,Residential 17,Industrial 1,Industrial 2,Residential 18,Residential 19,Residential 20,Commercial 6,Industrial 3,Commercial 7,Commercial 8,Residential 22
50.8123606,63.54397683,60.97483272,50.83518144,38.12638608,101.6247212,101.6247212,42.36265122,50.83518144,28.59478956,42.36265122,50.83518144,60.97483272,38.12638608,42.36265122,50.83518144,57.18957912,63.54397683,76.25277216,57.18957912,63.54397683,76.25277216,221.3014612,221.3014612,38.12638608,42.36265122,50.83518144,60.97483272,105.3816482,76.2185409,106.7059573,38.12638608
46.8380612,60.4680588,56.20567344,48.37444704,36.28083528,93.6761224,93.6761224,40.3120392,48.37444704,27.21062646,40.3120392,48.37444704,56.20567344,36.28083528,40.3120392,48.37444704,54.42125292,60.4680588,72.56167056,54.42125292,60.4680588,72.56167056,221.4912643,221.4912643,36.28083528,40.3120392,48.37444704,56.20567344,105.4720306,70.2570918,98.35992852,36.28083528
48.4116453,57.26375289,58.09397436,45.8110023,34.35825174,96.8232906,96.8232906,38.17583526,45.8110023,25.76868881,38.17583526,45.8110023,58.09397436,34.35825174,38.17583526,45.8110023,51.53737761,57.26375289,68.71650345,51.53737761,57.26375289,68.71650345,217.8910986,217.8910986,34.35825174,38.17583526,45.8110023,58.09397436,103.757666,72.61746795,101.6644551,34.35825174
52.0846954,53.60685219,62.50163448,42.88548174,32.16411132,104.1693908,104.1693908,35.73790146,42.88548174,24.12308349,35.73790146,42.88548174,62.50163448,32.16411132,35.73790146,42.88548174,48.24616698,53.60685219,64.32822261,48.24616698,53.60685219,64.32822261,219.2863705,219.2863705,32.16411132,35.73790146,42.88548174,62.50163448,104.4220812,78.1270431,109.3778603,32.16411132
55.9192327,50.69276784,67.10307924,40.55421426,30.41566068,111.8384654,111.8384654,33.79517856,40.55421426,22.81174551,33.79517856,40.55421426,67.10307924,30.41566068,33.79517856,40.55421426,45.62349102,50.69276784,60.83132139,45.62349102,50.69276784,60.83132139,217.0408481,217.0408481,30.41566068,33.79517856,40.55421426,67.10307924,103.3527848,83.87884905,117.4303887,30.41566068
61.0198812,47.88063873,73.22385744,38.30451096,28.72838322,122.0397624,122.0397624,31.92042582,38.30451096,21.54628742,31.92042582,38.30451096,73.22385744,28.72838322,31.92042582,38.30451096,43.09257483,47.88063873,57.45676644,43.09257483,47.88063873,57.45676644,222.9014924,222.9014924,28.72838322,31.92042582,38.30451096,73.22385744,106.1435678,91.5298218,128.1417505,28.72838322
71.4411741,42.98517126,85.72940892,34.38813702,25.79110272,142.8823482,142.8823482,28.65678084,34.38813702,19.34332704,28.65678084,34.38813702,85.72940892,25.79110272,28.65678084,34.38813702,38.68665408,42.98517126,51.58220553,38.68665408,42.98517126,51.58220553,218.974211,218.974211,25.79110272,28.65678084,34.38813702,85.72940892,104.2734338,107.1617612,150.0264656,25.79110272
81.0879533,39.83588874,97.30554396,31.86871098,23.90153322,162.1759066,162.1759066,26.55725916,31.86871098,17.92614992,26.55725916,31.86871098,97.30554396,23.90153322,26.55725916,31.86871098,35.85229983,39.83588874,47.80306647,35.85229983,39.83588874,47.80306647,214.4033392,214.4033392,23.90153322,26.55725916,31.86871098,97.30554396,102.0968282,121.63193,170.2847019,23.90153322
84.5107203,35.57426967,101.4128644,28.4594157,21.34456182,169.0214406,169.0214406,23.71617978,28.4594157,16.00842137,23.71617978,28.4594157,101.4128644,21.34456182,23.71617978,28.4594157,32.01684273,35.57426967,42.68912355,32.01684273,35.57426967,42.68912355,218.4179012,218.4179012,21.34456182,23.71617978,28.4594157,101.4128644,104.0085244,126.7660805,177.4725126,21.34456182
86.9002687,33.44615739,104.2803224,26.7569259,20.06769444,173.8005374,173.8005374,22.29743826,26.7569259,15.05077083,22.29743826,26.7569259,104.2803224,20.06769444,22.29743826,26.7569259,30.10154166,33.44615739,40.13538885,30.10154166,33.44615739,40.13538885,215.8288394,215.8288394,20.06769444,22.29743826,26.7569259,104.2803224,102.7756378,130.3504031,182.4905643,20.06769444
88.6008058,32.05978254,106.320967,25.64782602,19.2358695,177.2016116,177.2016116,21.37318836,25.64782602,14.42690213,21.37318836,25.64782602,106.320967,19.2358695,21.37318836,25.64782602,28.85380425,32.05978254,38.47173903,28.85380425,32.05978254,38.47173903,145.114636,145.114636,19.2358695,21.37318836,25.64782602,106.320967,69.1022076,132.9012087,186.0616922,19.2358695
90.6242369,29.89390905,108.7490843,23.91512724,17.93634546,181.2484738,181.2484738,19.9292727,23.91512724,13.4522591,19.9292727,23.91512724,108.7490843,17.93634546,19.9292727,23.91512724,26.90451819,29.89390905,35.87269086,26.90451819,29.89390905,35.87269086,155.1311294,155.1311294,17.93634546,19.9292727,23.91512724,108.7490843,73.8719664,135.9363554,190.3108975,17.93634546
90.7886814,28.52533593,108.9464177,22.82026878,17.1152016,181.5773628,181.5773628,19.01689062,22.82026878,12.8364012,19.01689062,22.82026878,108.9464177,17.1152016,19.01689062,22.82026878,25.6728024,28.52533593,34.23040317,25.6728024,28.52533593,34.23040317,193.6304567,193.6304567,17.1152016,19.01689062,22.82026878,108.9464177,92.2049794,136.1830221,190.6562309,17.1152016
90.4985414,28.11589686,108.5982497,22.4927175,16.86953814,180.9970828,180.9970828,18.74393124,22.4927175,12.65215361,18.74393124,22.4927175,108.5982497,16.86953814,18.74393124,22.4927175,25.30430721,28.11589686,33.73907625,25.30430721,28.11589686,33.73907625,306.9042123,306.9042123,16.86953814,18.74393124,22.4927175,108.5982497,146.144863,135.7478121,190.0469369,16.86953814
90.727492,28.78642755,108.8729904,23.02914204,17.27185656,181.454984,181.454984,19.1909517,23.02914204,12.95389242,19.1909517,23.02914204,108.8729904,17.27185656,19.1909517,23.02914204,25.90778484,28.78642755,34.54371306,25.90778484,28.78642755,34.54371306,373.5943189,373.5943189,17.27185656,19.1909517,23.02914204,108.8729904,177.9020566,136.091238,190.5277332,17.27185656
91.6145104,27.38926386,109.9374125,21.91141104,16.43355828,183.2290208,183.2290208,18.25950924,21.91141104,12.32516871,18.25950924,21.91141104,109.9374125,16.43355828,18.25950924,21.91141104,24.65033742,27.38926386,32.86711656,24.65033742,27.38926386,32.86711656,376.1203039,376.1203039,16.43355828,18.25950924,21.91141104,109.9374125,179.1049066,137.4217656,192.3904718,16.43355828
94.4381841,24.55232022,113.3258209,19.6418562,14.73139212,188.8763682,188.8763682,16.36821348,19.6418562,11.04854409,16.36821348,19.6418562,113.3258209,14.73139212,16.36821348,19.6418562,22.09708818,24.55232022,29.4627843,22.09708818,24.55232022,29.4627843,381.7845532,381.7845532,14.73139212,16.36821348,19.6418562,113.3258209,181.8021682,141.6572762,198.3201866,14.73139212
95.5332759,23.01544017,114.6399311,18.4123521,13.80926406,191.0665518,191.0665518,15.34362678,18.4123521,10.35694805,15.34362678,18.4123521,114.6399311,13.80926406,15.34362678,18.4123521,20.71389609,23.01544017,27.61852815,20.71389609,23.01544017,27.61852815,372.6927834,372.6927834,13.80926406,15.34362678,18.4123521,114.6399311,177.472754,143.2999139,200.6198794,13.80926406
96.1237224,24.75677007,115.3484669,19.80541602,14.854062,192.2474448,192.2474448,16.50451338,19.80541602,11.1405465,16.50451338,19.80541602,115.3484669,14.854062,16.50451338,19.80541602,22.281093,24.75677007,29.70812403,22.281093,24.75677007,29.70812403,370.9177702,370.9177702,14.854062,16.50451338,19.80541602,115.3484669,176.6275096,144.1855836,201.859817,14.854062
98.6258784,27.47719341,118.3510541,21.98175474,16.48631604,197.2517568,197.2517568,18.31812894,21.98175474,12.36473703,18.31812894,21.98175474,118.3510541,16.48631604,18.31812894,21.98175474,24.72947406,27.47719341,32.97263211,24.72947406,27.47719341,32.97263211,394.5635908,394.5635908,16.48631604,18.31812894,21.98175474,118.3510541,187.8874242,147.9388176,207.1143446,16.48631604
99.2901051,29.45641878,119.1481261,23.56513506,17.67385128,198.5802102,198.5802102,19.63761252,23.56513506,13.25538846,19.63761252,23.56513506,119.1481261,17.67385128,19.63761252,23.56513506,26.51077692,29.45641878,35.34770259,26.51077692,29.45641878,35.34770259,369.3745201,369.3745201,17.67385128,19.63761252,23.56513506,119.1481261,175.8926286,148.9351577,208.5092207,17.67385128
97.8121948,30.5045613,117.3746338,24.40364904,18.30273678,195.6243896,195.6243896,20.3363742,24.40364904,13.72705259,20.3363742,24.40364904,117.3746338,18.30273678,20.3363742,24.40364904,27.45410517,30.5045613,36.60547356,27.45410517,30.5045613,36.60547356,365.6537489,365.6537489,18.30273678,20.3363742,24.40364904,117.3746338,174.1208328,146.7182922,205.4056091,18.30273678
94.9814004,31.69026243,113.9776805,25.35220992,19.01415744,189.9628008,189.9628008,21.12684162,25.35220992,14.26061808,21.12684162,25.35220992,113.9776805,19.01415744,21.12684162,25.35220992,28.52123616,31.69026243,38.02831488,28.52123616,31.69026243,38.02831488,391.7641081,391.7641081,19.01415744,21.12684162,25.35220992,113.9776805,186.5543372,142.4721006,199.4609408,19.01415744
94.2304386,32.87380572,113.0765263,26.2990446,19.72428342,188.4608772,188.4608772,21.91587048,26.2990446,14.79321257,21.91587048,26.2990446,113.0765263,19.72428342,21.91587048,26.2990446,29.58642513,32.87380572,39.4485669,29.58642513,32.87380572,39.4485669,382.2685801,382.2685801,19.72428342,21.91587048,26.2990446,113.0765263,182.0326572,141.3456579,197.8839211,19.72428342
92.2766572,34.13395026,110.7319886,27.30716022,20.48037018,184.5533144,184.5533144,22.75596684,27.30716022,15.36027764,22.75596684,27.30716022,110.7319886,20.48037018,22.75596684,27.30716022,30.72055527,34.13395026,40.96074033,30.72055527,34.13395026,40.96074033,383.538535,383.538535,20.48037018,22.75596684,27.30716022,110.7319886,182.6373976,138.4149858,193.7809801,20.48037018
86.2418702,37.91438397,103.4902442,30.3315072,22.7486304,172.4837404,172.4837404,25.27625598,30.3315072,17.0614728,25.27625598,30.3315072,103.4902442,22.7486304,25.27625598,30.3315072,34.1229456,37.91438397,45.4972608,34.1229456,37.91438397,45.4972608,396.0626687,396.0626687,22.7486304,25.27625598,30.3315072,103.4902442,188.6012708,129.3628053,181.1079274,22.7486304
85.994096,44.07539049,103.1929152,35.26031238,26.4452343,171.988192,171.988192,29.38359366,35.26031238,19.83392573,29.38359366,35.26031238,103.1929152,26.4452343,29.38359366,35.26031238,39.66785145,44.07539049,52.89046857,39.66785145,44.07539049,52.89046857,391.6829398,391.6829398,26.4452343,29.38359366,35.26031238,103.1929152,186.5156856,128.991144,180.5876016,26.4452343
82.5057745,50.918256,99.0069294,40.7346048,30.5509536,165.011549,165.011549,33.945504,40.7346048,22.9132152,33.945504,40.7346048,99.0069294,30.5509536,33.945504,40.7346048,45.8264304,50.918256,61.1019072,45.8264304,50.918256,61.1019072,342.6983217,342.6983217,30.5509536,33.945504,40.7346048,99.0069294,163.189677,123.7586618,173.2621265,30.5509536
78.4985731,57.87386568,94.19828772,46.29909252,34.72431942,156.9971462,156.9971462,38.58257712,46.29909252,26.04323957,38.58257712,46.29909252,94.19828772,34.72431942,38.58257712,46.29909252,52.08647913,57.87386568,69.44863878,52.08647913,57.87386568,69.44863878,393.8768383,393.8768383,34.72431942,38.58257712,46.29909252,94.19828772,187.5603992,117.7478597,164.8470035,34.72431942
73.813732,64.09475064,88.5764784,51.2758005,38.45685036,147.627464,147.627464,42.72983376,51.2758005,28.84263777,42.72983376,51.2758005,88.5764784,38.45685036,42.72983376,51.2758005,57.68527554,64.09475064,76.91370075,57.68527554,64.09475064,76.91370075,373.8290842,373.8290842,38.45685036,42.72983376,51.2758005,88.5764784,178.0138496,110.720598,155.0088372,38.45685036
70.7136096,68.664393,84.85633152,54.9315144,41.1986358,141.4272192,141.4272192,45.776262,54.9315144,30.89897685,45.776262,54.9315144,84.85633152,41.1986358,45.776262,54.9315144,61.7979537,68.664393,82.3972716,61.7979537,68.664393,82.3972716,367.9769407,367.9769407,41.1986358,45.776262,54.9315144,84.85633152,175.2271146,106.0704144,148.4985802,41.1986358
70.741688,71.03309796,84.8900256,56.82647838,42.6198588,141.483376,141.483376,47.35539864,56.82647838,31.9648941,47.35539864,56.82647838,84.8900256,42.6198588,47.35539864,56.82647838,63.9297882,71.03309796,85.23971757,63.9297882,71.03309796,85.23971757,318.4947192,318.4947192,42.6198588,47.35539864,56.82647838,84.8900256,151.664152,106.112532,148.5575448,42.6198588
66.7089435,72.50632353,80.0507322,58.0050588,43.5037941,133.417887,133.417887,48.33754902,58.0050588,32.62784558,48.33754902,58.0050588,80.0507322,43.5037941,48.33754902,58.0050588,65.25569115,72.50632353,87.0075882,65.25569115,72.50632353,87.0075882,301.1284592,301.1284592,43.5037941,48.33754902,58.0050588,80.0507322,143.3945044,100.0634153,140.0887814,43.5037941
66.4150514,75.61191096,79.69806168,60.48952878,45.3671466,132.8301028,132.8301028,50.40794064,60.48952878,34.02535995,50.40794064,60.48952878,79.69806168,45.3671466,50.40794064,60.48952878,68.0507199,75.61191096,90.73429317,68.0507199,75.61191096,90.73429317,370.458874,370.458874,45.3671466,50.40794064,60.48952878,79.69806168,176.4089876,99.6225771,139.4716079,45.3671466
66.5613268,78.68027664,79.87359216,62.94422136,47.20816602,133.1226536,133.1226536,52.45351776,62.94422136,35.40612452,52.45351776,62.94422136,79.87359216,47.20816602,52.45351776,62.94422136,70.81224903,78.68027664,94.41633204,70.81224903,78.68027664,94.41633204,326.5150631,326.5150631,47.20816602,52.45351776,62.94422136,79.87359216,155.4833634,99.8419902,139.7787863,47.20816602
66.5255328,81.67920102,79.83063936,65.34336084,49.00752066,133.0510656,133.0510656,54.45280068,65.34336084,36.7556405,54.45280068,65.34336084,79.83063936,49.00752066,54.45280068,65.34336084,73.51128099,81.67920102,98.01504126,73.51128099,81.67920102,98.01504126,286.8607451,286.8607451,49.00752066,54.45280068,65.34336084,79.83063936,136.6003548,99.7882992,139.7036189,49.00752066
66.6190436,84.42709695,79.94285232,67.54167756,50.65625814,133.2380872,133.2380872,56.2847313,67.54167756,37.99219361,56.2847313,67.54167756,79.94285232,50.65625814,56.2847313,67.54167756,75.98438721,84.42709695,101.3125163,75.98438721,84.42709695,101.3125163,273.2317354,273.2317354,50.65625814,56.2847313,67.54167756,79.94285232,130.1103502,99.9285654,139.8999916,50.65625814
66.5068296,86.15317599,79.80819552,68.92254078,51.6919056,133.0136592,133.0136592,57.43545066,68.92254078,38.7689292,57.43545066,68.92254078,79.80819552,51.6919056,57.43545066,68.92254078,77.5378584,86.15317599,103.3838112,77.5378584,86.15317599,103.3838112,301.6301849,301.6301849,51.6919056,57.43545066,68.92254078,79.80819552,143.6334214,99.7602444,139.6643422,51.6919056
66.4571288,87.88861053,79.74855456,70.3108884,52.7331663,132.9142576,132.9142576,58.59240702,70.3108884,39.54987473,58.59240702,70.3108884,79.74855456,52.7331663,58.59240702,70.3108884,79.09974945,87.88861053,105.4663326,79.09974945,87.88861053,105.4663326,289.8499729,289.8499729,52.7331663,58.59240702,70.3108884,79.74855456,138.0237966,99.6856932,139.5599705,52.7331663
66.1386046,87.94794951,79.36632552,70.35835962,52.7687697,132.2772092,132.2772092,58.63196634,70.35835962,39.57657728,58.63196634,70.35835962,79.36632552,52.7687697,58.63196634,70.35835962,79.15315455,87.94794951,105.5375394,79.15315455,87.94794951,105.5375394,277.3985752,277.3985752,52.7687697,58.63196634,70.35835962,79.36632552,132.0945596,99.2079069,138.8910697,52.7687697
65.7789395,87.09886233,78.9347274,69.6790899,52.25931744,131.557879,131.557879,58.06590822,69.6790899,39.19448808,58.06590822,69.6790899,78.9347274,52.25931744,58.06590822,69.6790899,78.38897616,87.09886233,104.5186349,78.38897616,87.09886233,104.5186349,274.4560039,274.4560039,52.25931744,58.06590822,69.6790899,78.9347274,130.6933352,98.66840925,138.135773,52.25931744
56.3606142,89.01227538,67.63273704,71.20982028,53.40736524,112.7212284,112.7212284,59.34151692,71.20982028,40.05552393,59.34151692,71.20982028,67.63273704,53.40736524,59.34151692,71.20982028,80.11104786,89.01227538,106.8147304,80.11104786,89.01227538,106.8147304,265.458842,265.458842,53.40736524,59.34151692,71.20982028,67.63273704,126.4089724,84.5409213,118.3572898,53.40736524
55.9844214,84.31154775,67.18130568,67.4492382,50.58692862,111.9688428,111.9688428,56.2076985,67.4492382,37.94019647,56.2076985,67.4492382,67.18130568,50.58692862,56.2076985,67.4492382,75.88039293,84.31154775,101.1738573,75.88039293,84.31154775,101.1738573,276.2763574,276.2763574,50.58692862,56.2076985,67.4492382,67.18130568,131.5601702,83.9766321,117.5672849,50.58692862
55.9868566,79.10967528,67.18422792,63.2877402,47.46580518,111.9737132,111.9737132,52.73978352,63.2877402,35.59935389,52.73978352,63.2877402,67.18422792,47.46580518,52.73978352,63.2877402,71.19870777,79.10967528,94.9316103,71.19870777,79.10967528,94.9316103,236.0396065,236.0396065,47.46580518,52.73978352,63.2877402,67.18422792,112.3998126,83.9802849,117.5723989,47.46580518
56.0920166,74.71373427,67.31041992,59.77098744,44.82824058,112.1840332,112.1840332,49.80915618,59.77098744,33.62118044,49.80915618,59.77098744,67.31041992,44.82824058,49.80915618,59.77098744,67.24236087,74.71373427,89.65648116,67.24236087,74.71373427,89.65648116,240.6591726,240.6591726,44.82824058,49.80915618,59.77098744,67.31041992,114.599606,84.1380249,117.7932349,44.82824058
55.9858499,70.38792126,67.18301988,56.31033696,42.23275272,111.9716998,111.9716998,46.92528084,56.31033696,31.67456454,46.92528084,56.31033696,67.18301988,42.23275272,46.92528084,56.31033696,63.34912908,70.38792126,84.46550544,63.34912908,70.38792126,84.46550544,233.9550986,233.9550986,42.23275272,46.92528084,56.31033696,67.18301988,111.4071898,83.97877485,117.5702848,42.23275272
55.8945873,67.56500322,67.07350476,54.05200254,40.53900192,111.7891746,111.7891746,45.04333548,54.05200254,30.40425144,45.04333548,54.05200254,67.07350476,40.53900192,45.04333548,54.05200254,60.80850288,67.56500322,81.07800381,60.80850288,67.56500322,81.07800381,229.0740879,229.0740879,40.53900192,45.04333548,54.05200254,67.07350476,109.082899,83.84188095,117.3786333,40.53900192
54.8362217,65.26157112,65.80346604,52.20925686,39.15694266,109.6724434,109.6724434,43.50771408,52.20925686,29.367707,43.50771408,52.20925686,65.80346604,39.15694266,43.50771408,52.20925686,58.73541399,65.26157112,78.31388529,58.73541399,65.26157112,78.31388529,226.930166,226.930166,39.15694266,43.50771408,52.20925686,65.80346604,108.0619838,82.25433255,115.1560656,39.15694266
